en,Kn
ತಾಯಿಯ ಮೊಲೆ ಹಾಲು ಮಗುವಿಗೆ ಒಂದು ವರ್ಷವಾದರೂ ಕೊಡಬೇಕು ಆರೋಗ್ಯಕ್ಕೆ ಒಳ್ಳೆಯದು,Breast milk is good for your baby's health for at least a year.
ಅದಾದ ನಂತರ ಕರಿ ಬಣ್ಣದ ದೈವ ಜೀಮಾದಿ ದೇವರು,"Thereafter, the black-colored god Jemadi"
ವಿಹಾನನು ಮನೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸುತ್ತಾನೆ,Vihaan cleans the house
ಬಿದಿರನ್ನು ನಮ್ಮ ಅಟ್ಟಕ್ಕೆ ಪಕ್ಕಾಸು ಮತ್ತೆ ಅದನ್ನು ಚಂದ ಸುತ್ತಿಗೆಯಲ್ಲಿ ಗುದ್ದಿ ಹುಡಿ ಮಾಡಿ ಪಡಿ ಮಾಡುತ್ತಾರೆ ಇದು ನೋಡಲು ಬಹಳ ಚಂದ,It is very nice to see that the bamboo is put next to our palate and then punched and put in a nice wrap.
ಕೈ ಕಾಲಿಗೂ ಇದುವೇ ರೀತಿಯ ಚುಕ್ಕೆ ಹಾಕುತ್ತಾರೆ,A similar mark is also applied to the hands and feet.
ಬದುಕಿನುದ್ದಕ್ಕೂ ನಾವು ದುಡಿದು ಗಳಿಸಬೇಕು,We have to work and earn all our lives.
ಈಗಿನ ವಿದ್ಯಾವಂತ ಯುವಕರು ಕುಟುಂಬದ ಒಳಗೆ ಬಂದತಹ ಕಲಹವನ್ನು,The present-day educated youth are the victims of infighting within the family.
ಬಂದೂಕಿನಲ್ಲಿ ಹಾರಿಸಿದ ಈಡು ಹಂದಿಯ ಹೊಟ್ಟೆಗೆ ನಾಟಿ ರಕ್ತದ ಓಕುಳಿ ಬಾನೆತ್ತರಕ್ಕೆ ಹಾರುತ್ತದೆ,The gunshot wound is implanted in the stomach of the pig and flies into the anus with a blood clot.
"ಲಾಕ್‍ಡೌನ್ ಸಮಯದಲ್ಲಿ ನಗರದಲ್ಲಿ ಕರ್ತವ್ಯ ನಿರತ ಪೆÇಲೀಸ್ ಅಧಿಕಾರಿ, ಸಿಬ್ಬಂದಿಗಳಿಗೆ ಪೆÇಲೀಸ್ ಕಮಿಷನರ್ ಕಚೇರಿ ಆವರಣದಲ್ಲಿ ಇಸ್ಕಾನ್ ಕುಡುಪು ಕಟ್ಟೆ ವತಿಯಿಂದ ಪ್ರತಿ ದಿನ ಸಂಜೆ 6 ರಿಂದ ರಾತ್ರಿ 8 ಗಂಟೆ ತನಕ ಊಟದ ವ್ಯವಸ್ಥೆ ಮಾಡಿದ್ದಾರೆ.","During the lockdown, ISKCON Kuduputte has arranged food for the police officer and staff working in the city from 6 pm to 8 pm every day in the premises of the Police Commissioner's Office."
ನಂತರ ಬಡಿಸಿದ್ದರಿಂದ ಸ್ವಲ್ಪ,A little bit of food after
ಹಿಂದೆ ಬರುವಾಗ ಯಾವಾಗಲೂ ಹೋಗುವಂತೆ,Always go when you're coming back
ರಾಜಕುಮಾರಿ ಬಾಗಿಲು ತೆಗೆಯಲಿಲ್ಲ.,The princess did not open the door.
ರಸ ತೆಗೆದು ಕಬ್ಬಿಣ ಕಾವಲಿ,Remove the juice and guard the iron.
ವರುಣನು ಸುಳ್ಳು ನುಡಿಯುತ್ತಿದ್ದಾನೆ,Varuna is lying
ಪ್ರಕೃತಿಯ ಒಳಿತು ಕೆಡುಕು ಅವನಿಗೆ ಸಂಪೂರ್ಣ ತಿಳಿದಿತ್ತು,He was fully aware of the good and bad of nature
ಎಂತಹದ್ದು ಎನ್ನುವ ತಿಳುವಳಿಕೆಯನ್ನು ಪ್ರಾಣಿಪಕ್ಷಿ ಮನುಷ್ಯರ ಸಬಂಧಗಳಲ್ಲಿ ಎದ್ದು ಕಾಣಿಸುವುದು,An understanding of what is is evident in animal-human relationships.
"ಕೋವಿಡ್ ಹರಡುವುದನ್ನು ತಡೆಯಲು ಪ್ರತಿಯೊಬ್ಬರು ಕಡ್ಡಾಯವಾಗಿ ಮಾಸ್ಕ್ ಧರಿಸಬೇಕು, ಅಂತರ ಕಾಪಡಬೇಕು ಎಂದು ಎಷ್ಟು ಹೇಳಿದರೂ ಕಿವಿಗೆ ಹಾಕಿಕೊಳ್ಳುತ್ತಿ¯್ಲ ಆದರೆ ಪುತ್ತೂರಿನಲ್ಲಿ ಒಬ್ಬ ತನ್ನ ಪ್ರೀತಿಯ ನಾಯಿಗೂ (ಶ್ವಾನಕ್ಕೂ) ಮಾಸ್ಕ್ ಹಾಕುವ ಮೂಲಕ ಜಾಗೃತಿಯ ಸಂದೇಶ ನೀಡಿದ್ದಾರೆ.","To stop the spread of Covid, everyone has to compulsorily wear a mask, keep a distance, but in Puttur, a person has given a message of awareness by putting a mask on his beloved dog (also a dog)."
ಹಿಂದಿನ ಕಾಲದಲ್ಲಿ ಜನ ಸಾಮಾನ್ಯರಿಗೆ ವಿಜ್ಞಾನ ಅರ್ಥ ಆಗುತ್ತಾ ಇರಲಿಲ್ಲ,"In the past, the common man did not understand science."
ಮಲ್ಲೇಶನು ಪ್ರೀತಿಪರನಾಗಿದ್ದಾನೆ,Mallesh is loving
"ಬುಧವಾರ ರಾತ್ರಿ ಊಟದ ವ್ಯವಸ್ಥೆಗೆ ಚಾಲನೆ ನೀಡಿದ ಪೆÇಲೀಸ್ ಕಮಿಷನರ್ ಎನ್. ಶಶಿಕುಮಾರ್, ಲಾಕ್‍ಡೌನ್ ಸಮಯದಲ್ಲಿ ಕರ್ತವ್ಯ ನಿರತ ಪೆÇಲೀಸ್ ಅಧಿಕಾರಿ, ಸಿಬ್ಬಂದಿಗಳಿಗೆ ಊಟದ ವ್ಯವಸ್ಥೆಯನ್ನು ಇಸ್ಕಾನ್ ಕುಡುಪು ಕಟ್ಟೆ ವತಿಯಿಂದ ಮಾಡಿರುವುದು ಶ್ಲಾಘನೀಯ ಎಂದು ಹೇಳಿದರು.","Police Commissioner N. Shashikumar, who launched the meal arrangement on Wednesday night, said that it is commendable that ISKCON Kuduputte has arranged food for the police officer and staff on duty during the lockdown."
ಅದ್ವೈತನು ಸೌಂದರ್ಯದ ರಾಜನಾಗಿದ್ದಾನೆ,Advaita is the king of beauty.
"ಕ್ಷೇತ್ರದ ಭಕ್ತಾದಿಗಳು ಈ ಬದಲಾವಣೆಗೆ ಸ್ಪಂದಿಸಿ ಪುಣ್ಯ ಕಾರ್ಯದಲ್ಲಿ ಪಾಲ್ಗೊಂಡು ಸಹಕಾರ ನೀಡಬೇಕೆಂದು ಕ್ಷೇತ್ರದ ಅಧ್ಯಕ್ಷರು, ಪದಾಧಿಕಾರಿಗಳು ಮತ್ತು ಟ್ರಸ್ಟ್ ಸದಸ್ಯರು ಮತ್ತು ಬ್ರಹ್ಮಕಲಶೋತ್ಸವ ಸಮಿತಿಯ ಸರ್ವ ಸದಸ್ಯರು ವಿನಂತಿಸಿದ್ದಾರೆ.","The president of the constituency, office bearers and members of the trust and all members of the Brahmakalashotsavam committee have requested the devotees of the constituency to respond to this change and participate in the virtuous work and cooperate."
ಸುಧಾಮನು ತುಂಬಾ ಸುಂದರವಾಗಿದ್ದಾನೆ,sudham is very beautiful
ಎಷ್ಟು ರಕ್ತ ಕುಡಿಯುತ್ತೀರಿ ಕುಡಿಯಿರಿ,Drink as much blood as you can
ಅಭಿನವನು  ಹಿಡಿದುಕೊಂಡಿದ್ದಾನೆ,Abhinav is holding on
ವಿಲೋಕನು ಹಣ್ಣನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತಾನೆ,Willoka takes the fruit
ದಡ್ಡಲಿನ ಕಾಯಿಯನ್ನು ತೆಂಗಿನಕಾಯಿಯೆಂದು ಇಟ್ಟ,Put the fruit of the cucumber in the form of a coconut.
ತನಿಯ ಇಡಲಿಕ್ಕೆ ಮುಟ್ಟಾಲೆ ಮಾಡಿದ,He made a penis for himself.
ಅಭಿನವನು ಸುಂದರವಾಗಿ ನಗುತ್ತಾನೆ,Abhinav smiles beautifully
ದೈವದ ಶುದ್ದಾಚಾರದಲ್ಲಿ ಹೆಚ್ಚು ಕಡಿಮೆ ಆಗಲಿಕ್ಕೆ ಬಾರದು,There is nothing less to be done in the cleanness of God
ಇನ್ನು ಮುಂದಕ್ಕೂ ಇಂತಹ ನೆಲಕೈ ಹೊಡೆಯುವಂತಹ ಕೆಟ್ಟ ಪದ್ದತಿ,It is a bad practice to hit such a rope again and again.
ವರುಣನು ಬುದ್ಧಿಹೀನನಾಗಿದ್ದಾನೆ,Varuna is unintelligent
ಅಮಿತನು ಉಡುಪನ್ನು-ಧರಿಸಿದ್ದಾನೆ,Amit is dressed-up
ಅಲ್ಲಿಗೆ ಹೊಸ್ತಿಲ ಸಿಂಗಾರ ಮುಗಿಯುತ್ತದೆ,There ends the threshold.
ಇದು ಎಲ್ಲಾ ಅವಳಿಗೆ ಏನು ಗೊತ್ತು,It's all she knows.
ಏಳು ಕಡಲ ಆಚೆಗಿನ ರಾಜ್ಯದ ನಡುವಿನಲ್ಲಿ ಹುಟ್ಟಿದ ವಿಷ ಗಾಳಿ,Poisonous air originating in the middle of the seven offshore states
ಹದಿನೈದು ಇಪ್ಪತ್ತು ವರ್ಷಕ್ಕೆ ಮುಂಚೆ ಕ್ಯಾಮೆರಾ ಯಾವಾಗ ತುಳುನಾಡಿನ ದೈವಾರಧನೆಯ ಒಳಗೆ ಹೊಕ್ಕಿತೊ ಆವಾಗಲೇ ಅಲ್ಪಸ್ವಲ್ಪ ಹೆಜ್ಜೆ ತಪ್ಪುತ್ತಾ ಬಂತು,"Fifteen to twenty years ago, when the camera entered the temple in Tulunadu, it was only a small step away."
ಇದು ಚೌತಿಗೆ ಅಗತ್ಯವಾಗಿ ಬೇಕು,This is a must-have
ಮುಂದೆ ಬರುವ ಅಪಾಯವನ್ನು ಅರಿತು ಈಗಲೇ ಜಾಗೃತರಾಗಿರಿ.,Be aware of the danger ahead and be aware now.
ಒಂದು ಊರಿನಲ್ಲಿ ಒಬ್ಬ ಹುಡುಗ ಪ್ರತಿದಿನ ಕುರೊಗಳನ್ನು ಮೇಯಿಸಲು ಕಾಡಿಗೆ ಹೋಗುತ್ತಿದ್ದನು,"In a village, a boy used to go to the forest every day to graze kerosene."
ಯಾಕೆ ನಮ್ಮ ಹಿರಿಯರು ಪರಶುರಾಮನನ್ನು ಕುಟುಂಬದ ಬಾಗಿಲಲ್ಲಿ ನಂಬಲಿಲ್ಲ,Why did our elders not believe in Parshuram at the doorstep of the family?
ಇವರ ಈ ಉತ್ತಮ ಕಾರ್ಯಕ್ಕೆ ಉಡುಪಿಯ ದಾನಿಗಳು ಸಹಕಾರ ನೀಡುತ್ತಿದ್ದಾರೆ.,Donors from Udupi are supporting him in this noble cause.
ವಿಪಿನನು ಪತ್ರವನ್ನು ಸ್ವೀಕರಿಸುತ್ತಾನೆ,Vipin receives the letter
ಅರುಣನು ಪ್ರೀತಿಪರನಾಗಿದ್ದಾನೆ,Aruna is loving
ಶಿವಾನಂದನು  ನಡೆಯುತ್ತಿದ್ದಾನೆ,Sivananda is walking
ಮುಖಕ್ಕೆ ಬೆನ್ನಿಗೆ ಹೊಟ್ಟೆಗೆ ಚುಕ್ಕಿ ಹಾಕುತ್ತಾರೆ,"Face, back, and abdomen"
ಪ್ರಕಾಶನು ಘೋಷಣೆ ಕೂಗುತ್ತಿದ್ದಾನೆ,The publication is shouting slogans
ಮಲ್ಲೇಶನು ಕಂಬವನ್ನು ಗಟ್ಟಿಯಾಗಿ ಹಿಡಿದುಕೊಂಡಿದ್ದಾನೆ,Mallesh is holding the pole tightly
ಈಗ ಕೆಲವು ವರ್ಷದಿಂದ ತುಳುವರಿಗೆ ಎಚ್ಚರವಾಯಿತು,"For a few years now, Tulu was awakened"
ಗುರುಗುಂಜಿಯ ಕಲೆ ಮಾಸುವಾಗ,When the art of gurungunji is played
ಪ್ರಹ್ಲಾದನು ವಾದ-ಮಾಡುತ್ತಾನೆ,Prahlada argues
ಜಗದೀಶನು ಪ್ರತಿಭಟಿಸುತ್ತಿದ್ದಾನೆ,Jagdish is protesting
ಜಯರಾಜನು ಮಳೆಯ ದೇವತೆ,Jayaraj is the rain god.
ಕರ್ ಕೋಲು ಈ ಎರಡ ಪದಗಳು ಸೇರಿ ಕರಂಗೋಲು ಆಗಿರಬಹುದು,Kar Kolu These two words together can be Karangolu
ಇಡೀ ಊರಿಗೂರೇ ಅಳಿಸಿ ಮುರಿದು ಇರಿಸಿದಳು,She wiped out the entire town and left it in ruins.
ಶಿವಾನಂದನು ಸಾಧಿಸುತ್ತಾನೆ,Sivananda achieves
ಆ ಕಾಲದಲ್ಲಿ ನಮ್ಮ ಹಿರಿಯರು ಯುದ್ದದ ಕಲಕ್ಕೆ ಇಳಿದು ಹೋಗುವಾಗ ಗುಂಡಿನ ಪೆಟ್ಟು ತಾಗದಹಾಗೆ ನೀನು ಮಾಡಿದ್ದಿ ಜುಮಾದಿ,"At that time, when our elders were going down to the battlefield, they were hit by a bullet and you did the jumadi."
ಅರುಣನು ಅವನನ್ನು ಹುರಿದುಂಬಿಸುತ್ತಿದ್ದಾನೆ,Aruna is cheering him on
ಗೌರೀಶನು ಅಸಭ್ಯವಾಗಿ ವರ್ತಿಸುತ್ತಿದ್ದಾನೆ,Gaurish is being rude
ಹಿಂದಿನ ಹಿರಿಯರು ಮುಡಿಪ್ಪನ್ನು ವರ್ಷಕ್ಕೊಮ್ಮೆಯೇ ಬಿಚ್ಚುತ್ತಿದ್ದರು,Earlier elders used to open the mudippu only once a year
ಬೇರೆ ಭಾಷೆ ಪರಕೀಯರೊಂದಿಗೆ ಬೆರೆಯುತ್ತಾ,Interacting with strangers in another language
ಅದು ಲೈವ್ ಆದರೆ ಆಮೇಲೆ ಬಹಳ ಕೆಲಸ ಇರುತ್ತದೆ.,It's live but then there's a lot of work.
ಹಿರಿಯರ ಮಾತು ಯಾವಾಗಲೂ ಸುಳ್ಳಾಗದು,Older people don't always lie
ವಿನೋದನು  ವಿವಾದ-ಮಾಡುತ್ತಾನೆ,The fun is debating
ನಂತರ ಮಗುವನ್ನು ತೊಟ್ಟಿಲಿಗೆ ಹಾಕುವಂದು,Then put the baby in the cradle.
ಕಾರಣ ಸಾವಿರ ಇದ್ದರೂ ಅದರ ವಿಚಾರವನ್ನು ಹುಡುಕುತ್ತ ಹೋದರೂ ನಮಗೆ ಕೆಲವೊಂದು ಮುಖ್ಯ ವಿಚಾರ ಸಿಗುತ್ತದೆ,"Though there are a thousand reasons, we find some important ones."
ರಾಮಣ್ಣನ ತಲೆಯಲ್ಲಿ ಇಂತಹ ಕೋಪದ ಆಲೋಚನೆಗಳು ಬರಲಿಕ್ಕೆ ಶುರು ಆಯಿತು,Such angry thoughts began to creep into Ramanna's head.
ದೇವರ ಎದುರಲ್ಲಿ ಹೆಣ್ಣಿನ ಅತ್ತೆ,Woman's mother-in-law in front of God
ನಾನು ನಿನ್ನೆ ಬಂದೆ,I came here yesterday.
"ಕೋವಿಡ್ ತಡೆಗಾಗಿ ತಹಶೀಲ್ದಾರ್, ಇಒ, ತಾಲೂಕು ಆರೋಗ್ಯಧಿಕಾರಿ, ತಾಲೂಕಿನ ಎಲ್ಲಾ ಪಿಡಿಒ, ಗ್ರಾಮಕರಣಿಕರುಗಳನ್ನು ಕರೆದು ಈಗಾಗಲೇ ಒಂದು ಸುತ್ತಿನ ಮಾತುಕತೆ ನಡೆಸಿದ್ದೇವೆ ಎಂದು ಹೇಳಿದರು.","We have already held a round of talks with the tahsildar, EO, Taluk Health Officer, all PDOs of the taluk, village planners to prevent Covid, he said."
ರಾಜನು ಆ ಭೂಮಿಯ ಮಾಲೀಕನಾಗಿದ್ದಾನೆ,The king is the owner of the land
ರಾಮಣ್ಣನ ಬದುಕಿನಲ್ಲಿ ಹಾಗೆ ಆಗಲಿಲ್ಲ,This did not happen in Ramanna's life.
ಉಪೇಂದ್ರನು  ಹೋದನು,Upendra is gone.
ಸೀಮಂತ ಹಾಕುವುದು ಎಂದರೆ ಏನು,what does it mean to have a border
ನಿಮ್ಮ ಹೆಂಡತಿಯನ್ನು ಕೊಂದದ್ದು ನಿಮ್ಮ ಮನೆ ಪ್ರವೇಶಿಸಿದ ದೈವಗಳೇ ಎಂದು,It was the gods who entered your house that killed your wife.
ಆರ್ಯನು ಏನನ್ನು ಹುಡುಕುತ್ತಿದ್ದಾನೆ,what is arya looking for
ಜೂನ್ 27: ಪೆಟ್ಯಾ ಮಾಲ್ವೇರ್ ಬಳಸಿಕೊಂಡು ಉಕ್ರೇನ್‍ನಲ್ಲಿ ಸೈಬರ್ ದಾಳಿ (ಚಿತ್ರಿತ).,June 27: Cyberattack in Ukraine using Petya malware (pictured).
"ಮಾಜಿ ಸಚಿವರಾದ ಅಭಯಚಂದ್ರ ಜೈನ್ ಈ ವಿಚಾರದಲ್ಲಿ ಸುದ್ದಿಗೋಷ್ಠಿಯಲ್ಲಿ ಮಾತನಾಡಿ, ಬಡವರ ಸೇವೆ ಮಾಡಲು ಮಾಜಿ ಪ್ರಧಾನಿ ದಿ. ಇಂದಿರಾ ಗಾಂಧಿ ಪ್ರೇರಣೆ.","Addressing a press conference, former minister Abhayachandra Jain said that former Prime Minister Indira Gandhi inspired him to serve the poor."
ಈ ನೆಲೆಯಲ್ಲಿ ಜಿಲ್ಲಾಸ್ಪತ್ರೆಯ ಲಸಿಕಾ ಕೇಂದ್ರದಲ್ಲಿ ನಿನ್ನೆ ಬೆಳಿಗ್ಗೆಯಿಂದ ಲಸಿಕೆ ನೀಡುವ ಕೆಲಸ ಪ್ರಾರಂಭವಾಗಿತ್ತು.,Vaccination work had started at the district hospital's vaccination centre at this base since yesterday morning.
ಗುಡ್ಡದಲ್ಲಿದ್ದ ದೈವಗಳನ್ನು ಅಂಗಳಕ್ಕೆ ತಂದು ಸ್ಥಾನ ಚಾವಡಿ ಕಟ್ಟಿದರು,The gods on the hill were brought to the courtyard and a place was built.
ಅನುಜನು ಪ್ರೀತಿಪರನಾಗಿದ್ದಾನೆ,Anuj is loving
ವಿಕ್ರಮನು  ಹೋದನು,Vikram is gone.
ಆ ಕಾಲದಲ್ಲಿ ಮಕ್ಕಳು ಅಂತೂ ದೈವದ ಹತ್ತಿರ ಹೋಗಬೇಕಾದರೆ,"At that time, children still needed to draw close to God."
ಆದರೆ ಮೇ 15 ತಾರೀಕಿಗೆ ತೌಖ್ತೇ ಚಂಡಮಾರುತ ಬಂದಾಗ ನೀರು ನಾಯಿಗಳು ನದಿ ಬಿಟ್ಟು ಹಳ್ಳಕೊಳ್ಳ ಸೇರಿದೆ.,"However, when Cyclone Tauktae hits on 15 May, the water starts leaking out of the river for the dogs."
ಅನೂಪನು ಅವನನ್ನು ಹೊಗಳುತ್ತಿದ್ದಾನೆ,Anoop is praising him
ಅವರ ನಡುವಿನ ಅಂತರವನ್ನು ಕಡಿಮೆ ಮಾಡುವುದು,Reducing the distance between them
ಅದ್ವೈತನು ಹರಿಯುತ್ತಿದ್ದಾನೆ,Advaita is flowing
ತುಳುನಾಡಿನಲ್ಲಿ ಕಾಡು ಮರ ಸಸ್ಯ ಸಂಪತ್ತಿನ ಕಾಡು ತುಂಬಿ ಇತ್ತು,The forest in Tulunadu was full of wild tree and plant wealth.
ಕಿರಣನು ಬಿಡಿಸುತ್ತಿದ್ದಾನೆ,The ray is shedding
ಅದಿತೇಯನು ಆರಾಧಿಸುತ್ತಾನೆ,Aditeya Worships
ಈಗಿನ ಅರ್ಧಂಬರ್ಧ ತುಳು ಕಲಿತ ಮಕ್ಕಳಲ್ಲಿ ಎತ್ತಿನ ಗಾಡಿ,The bullock cart is now one of the half of the Tulu-educated children.
ಅನ್ವಯನು ಶಿವನನ್ನು ಆರಾಧಿಸುತ್ತಾನೆ,Anvayu worships Shiva
ಮನೆಯವರಿಗೆ ರಮ್ಯ ಏನೋ ಒಂದು ಸುಳ್ಳು ಹೇಳಿದಳು,Ramya told a lie to the family.
ರಾಮಚಂದ್ರನು ನಿಧಾನವಾಗಿ ನಡೆಯುತ್ತಿದ್ದಾನೆ,Ramchandra is walking slowly.
ಏನೋ ಒಂಥರ ನೀರಿಗೆ ಬಿದ್ದಂತೆ ಆಗಿದೆ,It's like something fell into the water.
ಸುಜಯನು ಮನೆ ಕೆಲಸವನ್ನು ಬರೆಯುತ್ತಾನೆ,Sujaya writes the homework
ರಾಶಿ ಇಟ್ಟ ರಾಮಣ್ಣನ,Ramanna
ಇದನ್ನು ದೇವರ ಉಗುಳು ಎನ್ನುತ್ತಿದ್ದರು,It was called the spit of God.
ಸುಧನ್ವನು ಏನನ್ನು ಹುಡುಕುತ್ತಿದ್ದಾನೆ,What is Sudhanva looking for?
ಶಿವಾನಂದನು ಅವನನ್ನು ಹೊಗಳುತ್ತಿದ್ದಾನೆ,Sivananda is praising him.
ಆದಿತ್ಯನು ಜವಾಬ್ದಾರಿಯಿಂದ ನೇತೃತ್ವವನ್ನು ವಹಿಸುತ್ತಾನೆ,Aditya leads with responsibility
ಹಳ್ಳಿಯವರ ತಲೆಯಲ್ಲಿ ಸತ್ತು ಹೋದ ಕಮಲಕ್ಕನ ಪ್ರೇತದ್ದೇ ವಿಷಯ ಹಬ್ಬಿ ಹೋಗಿದೆ,"The ghost of Kamalakka, who died in the village's head, has become a topic of discussion"
ಅಕ್ಕಿ ತುಂಬದ ಕುತ್ತಿ ಕಡಿಮೆಯಾಗದೆ ಬಂದ ನೆಂಟರನ್ನು ಹೇಗೆ ಖುಷಿ ಮಾಡಬಹುದು,How to Enjoy a Rice-Filled Neck
ಕಿರಣನು ಬಾಣವನ್ನು ಬಿಡುತ್ತಾನೆ,Kiran releases an arrow
ಹೀಗೆ ಬ್ರಹ್ಮರು ತುಳುವರ ಕುಲದೈವ ಕುಲ ದೇವರಾಗಿ ತುಳುನಾಡಿನುದ್ದಕ್ಕೂ ಹತ್ತು ಹದಿನಾರು ಆಲಡೆಯಲ್ಲಿ ಮೆರೆಯುತ್ತಾ ಬರುತ್ತಿದ್ದಾರೆ,"Thus, Brahma continues to shine throughout Tulunadu as the Kuladeva clan god of Tuluvar in ten to sixteen aalads."
ಪ್ರಶಾಂತನು ಹೋಗಬೇಕಿದೆ,Peace has to go
ಚಕ್ಕುಲಿ ಲಡ್ಡು ಎಲಪ್ಪ ಜೀಲೆಬಿ ಮಾಲ್ಪುರಿ ಸಾಟ್,Chakkuli Laddu Elappa Jalebi Malpuri Saat
ಗಿರೀಶನು  ಬರೆಯುತ್ತಾನೆ,Girish writes
ರವೀಶನು ಉತ್ತಮ ಯಶಸ್ಸನ್ನು ಸಾಧಿಸುತ್ತಾನೆ,Ravish achieves great success
ವಿಕ್ರಮನು  ಆರಾಧನೆ-ಮಾಡುತ್ತಾನೆ,Vikram worships
ಅವಳು ಹದಿನೆಂಟು ತುಂಬಿ,She's full of eighteen
ಪಿಎಂ ಕೇರ್ಸ್ ನಿಧಿಯ ಹಣದಿಂದ 1 ಲಕ್ಷ ಆಕ್ಸಿಜನ್ ಕಾನ್ಸಂಟ್ರೇಟರ್‍ಗಳನ್ನು ಖರೀದಿಸಲು ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ ಅನುಮತಿ ನೀಡಿದ್ದಾರೆ.,Prime Minister Narendra Modi has approved the purchase of 1 lakh oxygen concentrators from the PM CARES Fund.
ಮನ್ಮಥನು ಡ್ಯೂಟಿ ಮಾಡುತ್ತಾನೆ,Manmatha does the duty
ಇದರಲ್ಲಿ ಇದ್ದ ವಿಟಮಿನ್ ಸಿ ನಮ್ಮ ದೇಹಕ್ಕೆ ರೋಗ ನಿರೋಧಕ ಶಕ್ತಿ ಕೊಡುತ್ತದೆ,The vitamin C present in it gives immunity to our body.
ಜಗದೀಶನು ನುಡಿಯುತ್ತಿದ್ದಾನೆ,Jagdish is playing
ಅಶ್ವತ್ಥನು ತಪ್ಪಾಗಿ ಉಚ್ಚಾರಮಾಡುತ್ತಾನೆ,Ashwath mispronounces
ಸದ್ಯದ ಕೋವಿಡ್ ಕಾರಣದಿಂದಾಗಿ ಝೂಮ್ ಆಪ್‍ನಲ್ಲಿ  ವರ್ಚುವಲ್ ಆಗಿ ನಡೆದ ಈ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಕನಿಷ್ಠ 400 ಜನ ಶಿವಳ್ಳಿ ಕುಟುಂಬದವರು ಅವರವರ ಮನೆಯಿಂದಲೇ ಪಾಲ್ಗೊಂಡಿದ್ದರು.,"Due to the current COVID situation, at least 400 Shivalli families attended the event virtually on Zoom App from their homes."
ಅರುಣನು ಪಾರ್ವತಿಯ ಗಂಡ,Aruna is the husband of Parvati.
ತುಂಬ ಉಪಕಾರ ಆಯಿತು,It was very helpful
ನನಗೆ ತಿಳಿಸಲಿಕ್ಕೆ ಆದದ್ದು ಇಷ್ಟೆ,That's all I have to say
ಹಾಸುಕಲ್ಲು ಒಡೆದು ಹದಿನಾರು ಕಡೆಗೆ ಬಿದ್ದಂತಹ ಸಮಯ,The time when the bedrock broke and fell towards sixteen
ಅದ್ವಿಕನು ದಾರಿಯನ್ನು ಮರೆತಿದ್ದಾನೆ,Advika has forgotten the way
ವೈರಿಗಳಿಗೆ ಸಿಂಹ ಸ್ವಪ್ನವಾದ ಕಾಂತಣ್ಣ ಅಧಿಕಾರಿಯ ಮುಂದೆ ಕಾರ್ಕಳದ ಭೈರವ ಅರಸನ ಸೈನ್ಯ ದಿಕ್ಕಾಪಾಲಾಗಿ ಓಡುತ್ತದೆ,"The army of the Bhairava king of Karkala runs in a direction before the Kantanna officer, a lion's dream for the enemies."
ಅಂದರೆ ಐಸಿಯು ಅಥವಾ ವೆಂಟಿಲೇಟರ್‍ನಲ್ಲಿರುವ ಔಷಧ ಪಡೆಯುತ್ತಿರುವ ಕೊರೊನಾ ಸೋಂಕಿತರಿಗೆ ಮಾತ್ರ ಆಯುಷ್ಮಾನ್ ಭಾರತ್ ಯೋಜನೆಯಡಿಯಲ್ಲಿ ಔಷಧ ಸಿಗುತ್ತದೆ ಹೀಗಾಗಿ “ಕೊರೊನಾ ಚಿಕಿತ್ಸೆ ಎಲ್ಲರಿಗೂ ಉಚಿತ” ಎನ್ನುವ ನಿಯಮ ಈ ಬಾರಿ ಅನ್ವಯವಾಗುವುದಿಲ್ಲ.,"This means that only those corona patients who are getting the medicine in the ICU or on a ventilator will get the medicine under the Ayushman Bharat scheme, so the rule of ""Corona treatment is free for all"" will not be applicable this time."
ಸರ್ವೇಶನು ಹಾಲಿನಿಂದ ಚಹಾವನ್ನು ಮಾಡುತ್ತಿದ್ದಾನೆ,Sarvesh is making tea with milk
ಚಂದ್ರನು ಹಣವನ್ನು ಸಾಲ ಪಡೆಯುತ್ತಾನೆ,The moon borrows money
ವಿಪಿನನು ಬಿಡುತ್ತಾನೆ,Vipin leaves
ಧರ್ಮಕ್ಕೆ ಧರ್ಮದೇವತೆಯಾಗಿ,As a god of religion
ಅದಕ್ಕಿಂತ ಮುಂಚೆ ಅದರ ಮೇಲೆ,on top of it before
ಅಮರನು ಗಮನಿಸುತ್ತಿದ್ದಾನೆ,Amar is watching
ನಮ್ಮ ಹಣೆಬರಹದಲ್ಲಿ ಎಷ್ಟು ಉಂಟು ಅಷ್ಟೇ ಸಿಗಿವುದಂತೆ ರಾಜನ್ ಹೋದ ಸತ್ಯದ ಅಕ್ಕಿ,"As much as there is in our destiny, the rice of truth that went to Rajan will be found."
